FigID,Site,SiteJP,LGC,SiteID,JASID,JPRAID,SpecimenID,Period,PeriodJP,ToolClass,ToolType,器種,器種細別,Fracture,Length,Width,Thickness,Weight,SrufaceAre,Volume
1,Hinatakita,日向北,13213,7,13213000700,130981,1309810001,UP5-late,V後,TP,TangedPoint,有茎尖頭器,有茎尖頭器,0,53.49,17.15,8.54,7.32,"1,683.33","2,698.57"
2,Hinatakita,日向北,13213,7,13213000700,130981,1309810002,UP5-late,V後,TP,TangedPoint,有茎尖頭器,有茎尖頭器,0,47.26,16.56,5.07,2.56,957.83,"1,041.85"
3,Hinatakita,日向北,13213,7,13213000700,130981,1309810003,UP5-late,V後,TP,TangedPoint,有茎尖頭器,有茎尖頭器,0,51.35,18.05,5.87,4.73,"1,324.59","1,784.88"
4,Hinatakita,日向北,13213,7,13213000700,130981,1309810004,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,0,50.20,20.52,9.11,8.08,"1,759.78","3,386.55"
5,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060014,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,1,59.05,18.55,5.85,6.62,"1,827.21","2,560.63"
6,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060022,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,2,66.54,29.74,12.48,22.07,"3,371.81","8,223.03"
7,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060013,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,1,74.37,22.20,7.12,11.15,"2,618.05","4,292.46"
8,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060024,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,2,36.77,22.26,7.56,5.49,"1,293.50","1,944.82"
9,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060025,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,2,24.68,18.52,8.81,3.33,775.25,"1,250.99"
10,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060010,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,0,55.79,15.25,7.65,6.00,"1,462.33","2,208.87"
11,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060011,UP5-late,V後,Po,SemibifacialPoint,尖頭器,半両面調整尖頭器,1,58.01,31.02,12.96,21.86,"3,333.16","9,483.42"
12,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060012,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,0,90.10,35.58,16.40,52.39,"5,640.80","19,162.30"
13,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060031,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,2,32.48,22.76,5.33,3.38,"1,099.11","1,349.30"
