FigID,Site,SiteJP,LGC,SiteID,JASID,JPRAID,SpecimenID,Period,PeriodJP,ToolClass,ToolType,器種,器種細別,Fracture,Length,Width,Thickness,Weight,SrufaceAre,Volume
14,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060032,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,1,39.40,13.58,7.70,4.23,"1,003.69","1,549.96"
15,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060033,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,2,51.75,22.75,10.36,10.00,"1,913.32","3,761.39"
16,Shimoyakebe,下宅部,13213,149,13213014900,131006,1310060034,UP5-late,V後,TP,TangedPoint,有茎尖頭器,有茎尖頭器,0,49.68,12.40,4.32,2.19,952.70,"1,005.27"
17,Nakanowari,中の割,13213,17,13213001700,130982,1309820001,UP4-late,IV後,Po,SemibifacialPoint,尖頭器,半両面調整尖頭器,2,35.54,16.58,7.93,3.75,996.73,"1,470.49"
18,Nakanowari,中の割,13213,17,13213001700,130982,1309820002,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,0,52.18,15.88,6.71,6.17,"1,483.09","2,346.56"
19,Nakanowari,中の割,13213,17,13213001700,130982,1309820003,UP5-late,V後,TP,TangedPoint,有茎尖頭器,有茎尖頭器,1,32.42,16.5304,5.19,3.34,994.80,"1,342.42"
20,Higashimurayama54,東村山市No.54,13213,54,13213005400,130997,1309970001,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,0,211.184,52.67,17.06,149.00,"16,586.50","63,348.90"
21,Higashimurayama74,東村山市No.74,13213,74,13213007400,130998,1309980001,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,2,25.61,14.07,4.28,1.39,544.93,559.58
22,Sasazuka,笹塚,13213,40,13213004000,130988,1309880001,UP4-late,IV後,Po,BifacialPoint,尖頭器,両面調整尖頭器,0,42.99,19.06,9.36,5.91,"1,352.53","2,189.92"
23,Sasazuka,笹塚,13213,40,13213004000,130990,1309900002,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,2,30.54,32.30,9.02,8.22,"4,748.23","8,827.75"
24,Sasazuka,笹塚,13213,40,13213004000,130990,1309900001,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,1,92.93,30.36,8.23,22.53,"1,660.78","3,189.33"
25,Sasazuka,笹塚,13213,40,13213004000,130990,1309900004,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,1,76.99,40.65,18.00,56.01,"6,191.97","22,025.40"
26,Sasazuka,笹塚,13213,40,13213004000,130990,1309900003,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,1,47.55,34.06,11.00,18.74,"2,865.28","7,189.89"
27,Sasazuka,笹塚,13213,40,13213004000,130990,1309900005,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,0,88.4503,38.40,12.23,35.65,"5,263.94","15,274.90"
28,Higashimurayama112,東村山市No.112,13213,112,13213011200,131000,1310000001,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,0,78.31,24.09,6.34,11.86,"2,712.70","4,129.04"
29,Higashimurayama48,東村山市No.48,13213,48,13213004800,130992,1309920008,UP4-late,IV後,Po,BifacialPoint,尖頭器,両面調整尖頭器,2,20.30,18.79,6.29,1.83,634.52,818.95
30,Higashimurayama53,東村山市No.53,13213,53,13213005300,130996,1309960001,UP4-late,IV後,Po,TrihedalPoint,尖頭器,三稜尖頭器,0,74.69,29.24,21.19,34.17,"4,009.52","12,642.50"
31,Higashimurayama53,東村山市No.53,13213,53,13213005300,130996,1309960002,UP4-late,IV後,Po,TrihedalPoint,尖頭器,三稜尖頭器,0,38.75,13.15,9.53,3.02,930.01,"1,313.11"
32,Higashimurayama53,東村山市No.53,13213,53,13213005300,130996,1309960003,UP4-late,IV後,Po,BackedPoint,尖頭器,周辺調整尖頭器,0,33.51,15.49,7.48,3.46,979.28,"1,505.73"
33,Higashimurayama53,東村山市No.53,13213,53,13213005300,130996,1309960005,UP4-late,IV後,Po,TrihedalPoint,尖頭器,三稜尖頭器,0,42.9901,23.82,10.63,7.92,"1,667.67","3,478.29"
34,Shoufukuji,正福寺,13213,31,13213003100,132144,1321440014,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,2,45.19,16.57,8.28,6.24,"1,336.37","2,397.38"
35,Higashimurayama22,東村山市No.22,13213,22,13213002200,132145,1321450001,UP5-late,V後,Po,BifacialPoint,尖頭器,両面調整尖頭器,1,68.87,26.83,7.82,17.56,"3,375.80","6,669.43"
